SID,Test_date,Metrics,Temp_1,Temp_2,Temp_3,DO_1,DO_2,DO_3,sat_1,sat_2,sat_3
S28RE,9/1/2021,lm_slope,0.00014,0.00013,0.00015,-1.00E-05,-1.00E-05,-1.10E-05,0.00018,0.00016,0.00019
S28RE,9/1/2021,R_square,0.99,0.99,1,0.89,0.82,0.91,0.97,0.94,0.97
S28RE,9/1/2021,RMSE,0.0226,0.0298,0.0133,0.00686,0.00903,0.00654,0.061,0.0794,0.0609
S28RE,9/1/2021,Mean,16.6,16.6,16.6,9.21,9.27,9.34,94.5,95.1,95.8
S28RE,9/1/2021,Range,0.91,0.849,1.01,0.086,0.096,0.1,1.21,1.01,1.23
S29R,8/31/2021,lm_slope,5.80E-05,5.80E-05,5.70E-05,1.10E-06,2.70E-07,2.30E-07,0.00012,0.00011,0.00011
S29R,8/31/2021,R_square,0.98,0.99,0.98,0.15,0.011,0.0076,0.95,0.95,0.96
S29R,8/31/2021,RMSE,0.0145,0.0132,0.0171,0.00509,0.00508,0.00513,0.0524,0.0465,0.044
S29R,8/31/2021,Mean,17.3,17.3,17.3,8.51,8.54,8.62,88.6,88.9,89.7
S29R,8/31/2021,Range,0.406,0.398,0.406,0.028,0.022,0.026,0.877,0.818,0.756
S30R,8/31/2021,lm_slope,0.00026,0.00025,0.00024,-2.50E-05,-4.20E-05,-1.80E-05,0.00029,9.60E-05,0.00034
S30R,8/31/2021,R_square,0.99,0.98,0.98,0.93,0.99,0.91,0.97,0.65,0.92
S30R,8/31/2021,RMSE,0.0587,0.0615,0.0598,0.0129,0.00846,0.0112,0.102,0.135,0.187
S30R,8/31/2021,Mean,18.1,18,17.9,10.1,9.83,10.1,107,104,106
S30R,8/31/2021,Range,1.64,1.6,1.59,0.195,0.282,0.148,1.88,0.957,2.29
S31,9/1/2021,lm_slope,0.00015,0.00014,0.00013,-1.10E-05,-4.50E-06,-1.00E-05,0.00019,0.00023,0.00017
S31,9/1/2021,R_square,0.99,0.97,0.98,0.88,0.45,0.78,0.96,0.9,0.88
S31,9/1/2021,RMSE,0.0254,0.0418,0.0317,0.00766,0.00942,0.0108,0.0742,0.151,0.121
S31,9/1/2021,Mean,14.6,14.6,14.6,9.65,9.51,9.69,95,93.6,95.3
S31,9/1/2021,Range,0.916,0.837,0.882,0.088,0.058,0.108,1.37,1.53,1.37
S32,9/2/2021,lm_slope,0.00012,0.00013,0.00013,-5.20E-06,-1.00E-06,2.10E-06,0.00018,0.00023,0.00027
S32,9/2/2021,R_square,0.97,0.98,0.98,0.63,0.092,0.24,0.9,0.97,0.99
S32,9/2/2021,RMSE,0.038,0.0316,0.0322,0.00772,0.00611,0.00717,0.114,0.0735,0.0507
S32,9/2/2021,Mean,14.8,14.8,14.8,9.15,9.01,9.13,90.3,89,90.2
S32,9/2/2021,Range,0.784,0.827,0.827,0.063,0.032,0.041,1.38,1.7,1.88
S36,9/2/2021,lm_slope,0.00016,0.00016,0.00014,-7.40E-05,-7.90E-05,-8.40E-05,-0.00038,-0.00045,-0.00052
S36,9/2/2021,R_square,0.99,0.98,0.98,0.98,0.94,0.96,0.93,0.76,0.85
S36,9/2/2021,RMSE,0.0324,0.0388,0.0426,0.0208,0.0395,0.0318,0.207,0.479,0.412
S36,9/2/2021,Mean,17.2,17.3,17.3,11.4,11.2,11.5,119,116,120
S36,9/2/2021,Range,1.09,1.02,0.931,0.508,0.596,0.584,2.84,3.74,3.8
S37,8/30/2021,lm_slope,-8.30E-05,-8.30E-05,-8.00E-05,-5.80E-08,-2.80E-08,3.70E-07,-0.00016,-0.00016,-0.00015
S37,8/30/2021,R_square,0.96,0.96,0.96,0.03,0.0025,0.37,0.96,0.97,0.96
S37,8/30/2021,RMSE,0.316,0.317,0.327,0.00636,0.0109,0.00919,0.595,0.555,0.596
S37,8/30/2021,Mean,13.6,13.6,13.6,9.17,8.99,9.16,88.1,86.4,88.2
S37,8/30/2021,Range,4.44,4.43,4.34,0.038,0.063,0.07,8.83,8.7,8.48
S38,9/1/2021,lm_slope,7.80E-05,7.30E-05,8.10E-05,1.90E-05,1.00E-05,2.50E-05,0.00028,0.00018,0.00034
S38,9/1/2021,R_square,0.88,0.93,0.93,0.83,0.68,0.87,0.88,0.84,0.91
S38,9/1/2021,RMSE,0.0549,0.0394,0.0433,0.0164,0.0133,0.0185,0.201,0.156,0.202
S38,9/1/2021,Mean,13.6,13.6,13.6,5.76,5.59,5.75,55.4,53.7,55.3
S38,9/1/2021,Range,0.455,0.419,0.498,0.148,0.089,0.147,1.87,1.14,1.89
S39,8/30/2021,lm_slope,0.00014,0.00015,0.00014,-9.60E-07,-1.60E-05,-9.40E-07,0.00028,0.00014,0.00027
S39,8/30/2021,R_square,0.99,0.98,0.98,0.12,0.71,0.081,0.99,0.83,0.99
S39,8/30/2021,RMSE,0.0476,0.0751,0.06,0.00877,0.0335,0.0104,0.102,0.204,0.109
S39,8/30/2021,Mean,13.2,13.2,13.2,9.51,9.29,9.51,90.7,88.6,90.5
S39,8/30/2021,Range,1.52,1.54,1.48,0.048,0.168,0.066,3.19,2.05,3.09
S49R,8/31/2021,lm_slope,0.00012,0.00011,0.00012,-5.00E-06,-6.10E-06,-9.30E-06,0.00019,0.00017,0.00014
S49R,8/31/2021,R_square,0.97,0.97,0.97,0.69,0.77,0.9,0.94,0.93,0.9
S49R,8/31/2021,RMSE,0.0391,0.0415,0.038,0.00648,0.00641,0.00594,0.0864,0.091,0.089
S49R,8/31/2021,Mean,14.5,14.5,14.5,9.43,9.57,9.45,92.5,93.8,92.7
S49R,8/31/2021,Range,0.777,0.744,0.76,0.049,0.058,0.076,1.4,1.23,1
S50,8/30/2021,lm_slope,5.90E-05,5.50E-05,5.40E-05,6.50E-06,2.60E-06,2.10E-06,0.00017,0.00012,0.00012
S50,8/30/2021,R_square,0.97,0.95,0.95,0.85,0.42,0.35,0.98,0.93,0.94
S50,8/30/2021,RMSE,0.0198,0.023,0.0229,0.00515,0.00581,0.00546,0.0461,0.0631,0.0551
S50,8/30/2021,Mean,17.4,17.4,17.4,8.06,8.2,8.04,84.1,85.6,83.9
S50,8/30/2021,Range,0.423,0.372,0.371,0.054,0.041,0.04,1.23,0.984,0.939
S51,8/31/2021,lm_slope,9.20E-05,9.20E-05,9.40E-05,-4.50E-06,-4.60E-06,-3.40E-06,0.00014,0.00015,0.00016
S51,8/31/2021,R_square,0.97,0.97,0.98,0.68,0.69,0.58,0.94,0.94,0.95
S51,8/31/2021,RMSE,0.0291,0.0301,0.0264,0.00582,0.00598,0.00549,0.0697,0.0698,0.067
S51,8/31/2021,Mean,13.1,13.1,13.1,9.61,9.75,9.65,91.5,92.8,91.9
S51,8/31/2021,Range,0.604,0.596,0.622,0.043,0.046,0.049,1.06,1.08,1.13
S55,9/3/2021,lm_slope,0.00011,0.00012,0.00011,-1.50E-05,-1.30E-05,-1.30E-05,5.80E-05,9.30E-05,8.30E-05
S55,9/3/2021,R_square,0.99,1,0.99,0.96,0.92,0.95,0.77,0.85,0.9
S55,9/3/2021,RMSE,0.0153,0.0158,0.0152,0.00581,0.00722,0.00567,0.0615,0.0742,0.0532
S55,9/3/2021,Mean,16.6,16.6,16.5,8.86,8.95,8.88,90.8,91.8,91
S55,9/3/2021,Range,0.714,0.715,0.697,0.112,0.094,0.094,0.549,0.723,0.634
S56,9/2/2021,lm_slope,0.00013,0.00013,0.00014,-8.60E-06,-7.80E-06,-1.00E-05,0.00022,0.00023,0.00022
S56,9/2/2021,R_square,0.95,0.94,0.97,0.8,0.78,0.85,0.94,0.92,0.95
S56,9/2/2021,RMSE,0.0569,0.0614,0.0471,0.00829,0.00787,0.00812,0.112,0.133,0.0948
S56,9/2/2021,Mean,12.2,12.2,12.2,10.9,11,10.9,101,102,101
S56,9/2/2021,Range,0.85,0.877,0.929,0.077,0.07,0.082,1.55,1.73,1.73
S63,8/31/2021,lm_slope,0.00034,0.00033,0.00035,-5.60E-06,-1.60E-05,-8.50E-06,0.00069,0.00056,0.00068
S63,8/31/2021,R_square,1,0.99,1,0.53,0.89,0.69,0.99,0.99,0.99
S63,8/31/2021,RMSE,0.0453,0.0552,0.0426,0.0101,0.0112,0.0109,0.121,0.11,0.125
S63,8/31/2021,Mean,12.2,12.3,12.2,10.4,10.2,10.4,96.9,95.6,96.5
S63,8/31/2021,Range,2.13,2.06,2.27,0.078,0.14,0.098,4.29,3.44,4.2
S67,8/30/2021,lm_slope,6.00E-05,6.10E-05,6.10E-05,-3.60E-05,-3.70E-05,-2.10E-05,-0.00025,-0.00026,-8.40E-05
S67,8/30/2021,R_square,0.99,0.99,0.99,0.99,0.99,0.97,0.98,0.98,0.83
S67,8/30/2021,RMSE,0.0095,0.00996,0.0104,0.00755,0.00793,0.0072,0.0714,0.077,0.0729
S67,8/30/2021,Mean,18.1,18.1,18.1,10.2,10.4,10.2,108,110,108
S67,8/30/2021,Range,0.396,0.397,0.421,0.219,0.242,0.151,1.53,1.69,0.75
S68,8/30/2021,lm_slope,3.70E-06,2.30E-06,3.00E-06,-1.50E-05,-2.00E-05,-3.40E-05,-0.00016,-0.00022,-0.00036
S68,8/30/2021,R_square,0.024,0.013,0.016,0.92,0.95,0.98,0.88,0.95,0.99
